,precision,recall,f1-score,support
Amazon Echo,0.9751626873067358,0.9997399999999999,0.986341221182538,2000.0
August Doorbell Cam,0.9471980596239307,0.9640549999999999,0.9530095357836766,2000.0
Awair air quality monitor,0.9869682837782756,1.0,0.9933070516057697,2000.0
Belkin Camera,0.99988056209033,1.0,0.9999401408853358,2000.0
Belkin Wemo switch,0.975924486102312,1.0,0.9878082011209363,2000.0
Belkin wemo motion sensor,1.0,0.9753000000000006,0.9874874630544066,2000.0
Blipcare Blood Pressure meter,1.0,1.0,1.0,29.0
Canary Camera,0.9539907543478314,0.8963800000000002,0.9194823855416808,2000.0
Dropcam,1.0,1.0,1.0,2000.0
Google Chromecast,0.7415958835164365,0.27066000000000007,0.37727647224683236,2000.0
HP Printer,0.5726684267604492,0.9506749999999998,0.7098642500240347,2000.0
Hello Barbie,1.0,1.0,1.0,14.0
Insteon Camera,0.993379571929058,1.0,0.9966786810439585,2000.0
Light Bulbs LiFX Smart Bulb,0.9999950024987507,1.0,0.9999975006248438,2000.0
NEST Protect smoke alarm,1.0,1.0,1.0,1479.0
Nest Dropcam,0.99980708808343,1.0,0.9999030250543163,2000.0
Netatmo Welcome,0.9910169555425239,1.0,0.994981209887331,2000.0
Netatmo weather station,0.999500499500499,1.0,0.9997501249375321,2000.0
Non-IoT,0.8699706819255298,1.0,0.9302355746501526,13323.0
PIX-STAR Photo-frame,0.9980273418880546,0.7943149999999999,0.8722309540541877,2000.0
Phillip Hue Lightbulb,0.9999800399201597,1.0,0.99999000999001,2000.0
Ring Door Bell,0.9913669617192348,1.0,0.9955974793570834,2000.0
Samsung SmartCam,0.9837387589941459,0.8235900000000003,0.8940595035316764,2000.0
Smart Things,1.0,1.0,1.0,2000.0
TP-Link Day Night Cloud camera,0.9999058940069341,1.0,0.9999527245583479,2000.0
TP-Link Smart plug,0.9997353869246104,1.0,0.999867596803023,2000.0
TPLink Router Bridge LAN,0.9933139953080863,0.9414750000000001,0.9589633630588978,2000.0
Triby Speaker,0.9999950024987507,0.9990249999999997,0.9995081977584195,2000.0
Withings Aura smart sleep sensor,0.5178463873980704,0.31024499999999994,0.3879866027122979,2000.0
Withings Smart Baby Monitor,1.0,1.0,1.0,2000.0
Withings Smart scale,1.0,0.9993489583333337,0.999674267100978,1536.0
iHome,1.0,1.0,1.0,2000.0
unknown maybe cam,0.9998214285714286,0.8088235294117666,0.8942368214004701,68.0
accuracy,0.940906471348068,0.940906471348068,0.940906471348068,0.940906471348068
macro avg,0.9542663678859264,0.9313221965983359,0.9344887987263253,70449.0
weighted avg,0.9362603204007708,0.940906471348068,0.9303156003466423,70449.0
